iter	Passed	Remaining
0	52	52912
1	53	26764
2	54	18034
3	54	13647
4	55	11014
5	55	9251
6	56	8005
7	56	7056
8	57	6322
9	57	5735
10	58	5254
11	58	4855
12	59	4520
13	60	4229
14	60	3980
15	61	3760
16	61	3569
17	62	3396
18	62	3242
19	63	3103
20	63	2983
21	64	2869
22	65	2763
23	65	2669
24	66	2586
25	66	2503
26	67	2426
27	67	2358
28	68	2296
29	69	2234
30	69	2177
31	70	2123
32	70	2073
33	71	2030
34	72	1985
35	72	1942
36	73	1901
37	73	1862
38	74	1828
39	74	1792
40	75	1761
41	75	1730
42	76	1703
43	77	1675
44	77	1649
45	78	1625
46	78	1601
47	79	1578
48	80	1556
49	80	1534
50	81	1512
51	81	1491
52	82	1471
53	82	1453
54	83	1435
55	84	1418
56	84	1400
57	85	1383
58	85	1367
59	86	1351
60	86	1336
61	87	1322
62	88	1309
63	88	1295
64	89	1282
65	89	1269
66	90	1256
67	90	1239
68	91	1227
69	91	1217
70	92	1205
71	92	1194
72	93	1183
73	93	1171
74	94	1164
75	95	1155
76	95	1147
77	96	1138
78	97	1131
79	97	1122
80	98	1113
81	98	1105
82	99	1097
83	99	1088
84	100	1078
85	100	1070
86	101	1060
87	101	1053
88	102	1046
89	102	1039
90	103	1032
91	103	1025
92	104	1018
93	104	1011
94	105	1004
95	105	997
96	106	992
97	107	986
98	107	979
99	108	974
100	108	967
101	109	960
102	109	955
103	110	949
104	110	944
105	111	939
106	111	934
107	112	929
108	112	923
109	113	918
110	113	912
111	114	908
112	115	903
113	115	898
114	116	893
115	116	888
116	117	883
117	117	879
118	118	874
119	118	869
120	119	865
121	119	860
122	119	854
123	120	850
124	120	845
125	121	842
126	121	838
127	122	832
128	123	830
129	123	827
130	124	825
131	125	823
132	125	820
133	126	818
134	127	814
135	127	811
136	128	808
137	128	803
138	129	800
139	129	798
140	130	795
141	131	792
142	131	789
143	132	785
144	132	782
145	133	779
146	133	776
147	134	774
148	135	771
149	135	768
150	136	765
151	136	762
152	137	759
153	137	757
154	138	755
155	139	754
156	139	751
157	140	748
158	140	745
159	141	743
160	142	740
